Model,method Argument Value,Type,Packages,Tuning Parameters,BB
Boosted Classification Trees,ada,Classification,"ada, plyr","iter, maxdepth, nu",0
Bagged AdaBoost,AdaBag,Classification,"adabag, plyr","mfinal, maxdepth",0
AdaBoost.M1,AdaBoost.M1,Classification,"adabag, plyr","mfinal, maxdepth, coeflearn",0
Adaptive Mixture Discriminant Analysis,amdai,Classification,adaptDA,model,0
Model Averaged Neural Network,avNNet,Dual Use,nnet,"size, decay, bag",0
Bagged Model,bag,Dual Use,caret,vars,0
Bagged MARS,bagEarth,Dual Use,earth,"nprune, degree",0
Bagged MARS using gCV Pruning,bagEarthGCV,Dual Use,earth,degree,0
Bagged Flexible Discriminant Analysis,bagFDA,Classification,"earth, mda","degree, nprune",0
Bagged FDA using gCV Pruning,bagFDAGCV,Classification,earth,degree,0
Bayesian Additive Regression Trees,bartMachine,Dual Use,bartMachine,"num_trees, k, alpha, beta, nu",0
Bayesian Generalized Linear Model,bayesglm,Dual Use,arm,None,1
Self-Organizing Map,bdk,Dual Use,kohonen,"xdim, ydim, xweight, topo",1
Binary Discriminant Analysis,binda,Classification,binda,lambda.freqs,1
Boosted Tree,blackboost,Dual Use,"party, mboost, plyr","mstop, maxdepth",0
Random Forest with Additional Feature Selection,Boruta,Dual Use,"Boruta, randomForest",mtry,0
Boosted Linear Model,bstLs,Dual Use,"bst, plyr","mstop, nu",0
Boosted Smoothing Spline,bstSm,Dual Use,"bst, plyr","mstop, nu",0
Boosted Tree,bstTree,Dual Use,"bst, plyr","mstop, maxdepth, nu",0
C5.0,C5.0,Classification,"C50, plyr","trials, model, winnow",1
Cost-Sensitive C5.0,C5.0Cost,Classification,"C50, plyr","trials, model, winnow, cost",1
Single C5.0 Ruleset,C5.0Rules,Classification,C50,None,1
Single C5.0 Tree,C5.0Tree,Classification,C50,None,1
Conditional Inference Random Forest,cforest,Dual Use,party,mtry,1
CHi-squared Automated Interaction Detection,chaid,Classification,CHAID,"alpha2, alpha3, alpha4",0
SIMCA,CSimca,Classification,rrcovHD,None,0
Conditional Inference Tree,ctree,Dual Use,party,mincriterion,1
Conditional Inference Tree,ctree2,Dual Use,party,maxdepth,0
Stacked AutoEncoder Deep Neural Network,dnn,Dual Use,deepnet,"layer1, layer2, layer3, hidden_dropout, visible_dropout",0
Multivariate Adaptive Regression Spline,earth,Dual Use,earth,"nprune, degree",1
Extreme Learning Machine,elm,Dual Use,elmNN,"nhid, actfun",0
Tree Models from Genetic Algorithms,evtree,Dual Use,evtree,alpha,0
Random Forest by Randomization,extraTrees,Dual Use,extraTrees,"mtry, numRandomCuts",1
Flexible Discriminant Analysis,fda,Classification,"earth, mda","degree, nprune",1
Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh,FH.GBML,Classification,frbs,"max.num.rule, popu.size, max.gen",0
Fuzzy Rules Using Chi's Method,FRBCS.CHI,Classification,frbs,"num.labels, type.mf",0
Fuzzy Rules with Weight Factor,FRBCS.W,Classification,frbs,"num.labels, type.mf",0
