ensembl_peptide_id,tf_gene,entrezgene_id
ENSP00000000442,ESRRA,2101
ENSP00000005082,ZNF195,7748
ENSP00000006015,HOXA11,3207
ENSP00000007699,YBX2,51087
ENSP00000008391,TFAP2D,83741
ENSP00000012134,HIVEP2,3097
ENSP00000020945,SNAI2,6591
ENSP00000040584,HOXC8,3224
ENSP00000056233,NFE2L3,9603
ENSP00000078445,CREB3L3,84699
ENSP00000086933,GSC2,2928
ENSP00000155093,ZFY,7544
ENSP00000156825,MBD3,53615
ENSP00000162391,FOXJ2,55810
ENSP00000174618,MNT,4335
ENSP00000177694,TBX21,30009
ENSP00000187879,ZNF222,7673
ENSP00000188403,NR1H4,9971
ENSP00000189444,NFKB2,4791
ENSP00000190165,DMRT3,58524
ENSP00000196482,ZNF324,25799
ENSP00000196489,ZNF416,55659
ENSP00000199706,MRPL28,10573
ENSP00000201031,TFAP2C,7022
ENSP00000204517,TFAP4,7023
ENSP00000206249,ESR1,2099
ENSP00000206513,CEBPE,1053
ENSP00000207157,TBX15,6913
ENSP00000211936,ZNF184,7738
ENSP00000215057,MZF1,7593
ENSP00000215919,PATZ1,23598
ENSP00000216037,XBP1,7494
ENSP00000216268,ZBED4,9889
ENSP00000216513,SIX4,51804
ENSP00000216923,ZFP64,55734
ENSP00000217026,MYBL2,4605
ENSP00000217086,SALL4,57167
ENSP00000217162,TCFL5,10732
ENSP00000217999,RHOXF1,158800
ENSP00000219069,ZNF263,10127
ENSP00000219091,ZNF205,7755
ENSP00000219478,ZNF500,26048
ENSP00000219782,MAZ,4150
ENSP00000220888,TRPS1,7227
ENSP00000221315,ZNF432,9668
ENSP00000221327,ZNF180,7733
ENSP00000221355,ZNF780B,163131
ENSP00000221399,TULP2,7288
ENSP00000221452,RELB,5971
ENSP00000221665,FIZ1,84922
ENSP00000221735,ZNF419,79744
ENSP00000221996,CRX,1406
ENSP00000222122,DBP,1628
ENSP00000222305,USF2,7392
ENSP00000222329,ERF,2077
ENSP00000222339,ZNF574,64763
ENSP00000222584,SP4,6671
ENSP00000222598,DLX5,1749
ENSP00000222718,HOXA2,3199
ENSP00000222726,HOXA5,3202
ENSP00000222728,HOXA6,3203
ENSP00000222753,HOXA13,3209
ENSP00000222761,EVX1,2128
ENSP00000223428,ZNF510,22869
ENSP00000223459,ZNF688,146542
ENSP00000224073,EDF1,8721
ENSP00000225648,HOXB6,3216
ENSP00000226067,HLF,3131
ENSP00000226247,FOXN1,8456
ENSP00000226382,PHOX2B,8929
ENSP00000226574,NFKB1,4790
ENSP00000227163,SPI1,6688
ENSP00000228251,YBX3,8531
ENSP00000228289,ZNF268,10795
ENSP00000228437,PRDM4,11108
ENSP00000228641,MYF6,4618
ENSP00000228644,MYF5,4617
ENSP00000228682,GLI1,2735
ENSP00000228741,ELK3,2004
ENSP00000228865,CREBL2,1389
ENSP00000229022,VDR,7421
ENSP00000229307,NANOG,79923
ENSP00000229405,ZNF76,7629
ENSP00000229418,NFYA,4800
ENSP00000229771,TULP1,7287
ENSP00000230122,ZBTB24,9841
