ensembl_peptide_id,tf_gene,entrezgene_id
ENSMUSP00000000010,Hoxb9,15417
ENSMUSP00000000080,Klf6,23849
ENSMUSP00000000095,Tbx2,21385
ENSMUSP00000000096,Tbx4,21387
ENSMUSP00000000253,Lhx2,16870
ENSMUSP00000000291,Mnt,17428
ENSMUSP00000000326,Bcl6b,12029
ENSMUSP00000000445,Myf5,17877
ENSMUSP00000000450,Pparg,19016
ENSMUSP00000000632,Zfp354c,30944
ENSMUSP00000000704,Hoxb6,15414
ENSMUSP00000000881,Bcl11a,14025
ENSMUSP00000000894,E2f1,13555
ENSMUSP00000000964,Hoxa1,15394
ENSMUSP00000001080,N4bp3,212706
ENSMUSP00000001092,Zfp276,57247
ENSMUSP00000001130,Sebox,18292
ENSMUSP00000001184,Mxd1,17119
ENSMUSP00000001284,Usf1,22278
ENSMUSP00000001326,Sp1,20683
ENSMUSP00000001455,Mef2d,17261
ENSMUSP00000001484,Tbx21,57765
ENSMUSP00000001536,Nkx2-1,21869
ENSMUSP00000001538,Pax9,18511
ENSMUSP00000001562,Tulp3,22158
ENSMUSP00000001608,Mnx1,15285
ENSMUSP00000001699,Hoxc10,209448
ENSMUSP00000001700,Hoxc13,15422
ENSMUSP00000001701,Hoxc11,109663
ENSMUSP00000001703,Hoxc8,15426
ENSMUSP00000001706,Hoxc9,15427
ENSMUSP00000001709,Hoxc5,15424
ENSMUSP00000001711,Hoxc6,15425
ENSMUSP00000001867,Evx2,14029
ENSMUSP00000001872,Hoxd13,15433
ENSMUSP00000001878,Hoxd12,15432
ENSMUSP00000002053,Npas1,18142
ENSMUSP00000002177,Nr1h3,22259
ENSMUSP00000002180,Spi1,20375
ENSMUSP00000002318,Zfp523,224656
ENSMUSP00000002320,Ppard,19015
ENSMUSP00000002336,Zim1,22776
ENSMUSP00000002444,Rfx2,19725
ENSMUSP00000002466,Nr2f6,13864
ENSMUSP00000002495,Meis3,17537
ENSMUSP00000002891,Top3a,21975
ENSMUSP00000003135,Elf3,13710
ENSMUSP00000003238,Foxj2,60611
ENSMUSP00000003284,Irf3,54131
ENSMUSP00000003369,Plag1,56711
ENSMUSP00000003640,Fosb,14282
ENSMUSP00000003870,Mxi1,17859
ENSMUSP00000003906,Farsa,66590
ENSMUSP00000004051,Hlf,217082
ENSMUSP00000004055,Dzip1,66573
ENSMUSP00000004097,Cux1,13047
ENSMUSP00000004143,Stat5b,20851
ENSMUSP00000004145,Stat5a,20850
ENSMUSP00000004340,Pax2,18504
ENSMUSP00000004392,Irf5,27056
ENSMUSP00000004473,Spic,20728
ENSMUSP00000004614,Zfp110,65020
ENSMUSP00000004964,Pou1f1,18736
ENSMUSP00000004994,Pax3,18505
ENSMUSP00000005064,Pias4,59004
ENSMUSP00000005103,Nfe2l3,18025
ENSMUSP00000005108,Kdm5a,214899
ENSMUSP00000005279,Klf5,12224
ENSMUSP00000005371,Trp53,22059
ENSMUSP00000005399,Zfp287,170740
ENSMUSP00000005413,Zfp112,57745
ENSMUSP00000005507,Mlxipl,58805
ENSMUSP00000005597,Zfp658,210104
ENSMUSP00000005600,Rfx1,19724
ENSMUSP00000005719,Adcy9,11515
ENSMUSP00000005722,Mef2c,17260
ENSMUSP00000005820,Nr1i3,12355
ENSMUSP00000005841,Ctcf,13018
ENSMUSP00000005862,Tfap4,83383
ENSMUSP00000006037,Ncoa2,17978
ENSMUSP00000006071,Otx1,18423
ENSMUSP00000006311,Tead4,21679
ENSMUSP00000006362,Rhox6,19202
ENSMUSP00000006377,Zbtb17,22642
ENSMUSP00000006762,Snai3,30927
ENSMUSP00000006818,Tcf23,69852
ENSMUSP00000006903,Zfp184,193452
ENSMUSP00000007559,Gatad1,67210
ENSMUSP00000007884,Zfp54,22712
ENSMUSP00000007949,Twist2,13345
ENSMUSP00000007961,Zmiz1,328365
ENSMUSP00000008016,Id3,15903
ENSMUSP00000008090,Phox2a,11859
ENSMUSP00000008350,Cers4,67260
ENSMUSP00000008537,Carhsp1,52502
ENSMUSP00000008542,Elk3,13713
ENSMUSP00000008830,Zfp955a,77652
ENSMUSP00000009099,Mta1,116870
ENSMUSP00000009102,Vps72,21427
ENSMUSP00000009120,Gabpa,14390
ENSMUSP00000009241,Tbx1,21380
ENSMUSP00000009392,Ascl2,17173
ENSMUSP00000009411,Zfp212,232784
ENSMUSP00000009420,Repin1,58887
ENSMUSP00000009550,Elk1,13712
ENSMUSP00000009877,Tfcp2,21422
ENSMUSP00000010319,Prox1,19130
ENSMUSP00000011493,Dmrtc2,71241
ENSMUSP00000012279,Gsc2,195333
ENSMUSP00000012314,Zfp729a,212281
ENSMUSP00000012540,Nanog,71950
ENSMUSP00000012612,Zmiz2,52915
ENSMUSP00000012664,Phox2b,18935
ENSMUSP00000012725,Zfp273,212569
ENSMUSP00000012796,Zfp715,69930
ENSMUSP00000012873,Zfp729b,100416706
ENSMUSP00000013262,Zkscan17,268417
ENSMUSP00000014174,Pax5,18507
ENSMUSP00000014447,Glis2,83396
ENSMUSP00000014747,Alx3,11694
ENSMUSP00000014848,Hoxa2,15399
ENSMUSP00000015003,E2f4,104394
ENSMUSP00000015197,Gata2,14461
ENSMUSP00000015236,Edf1,59022
ENSMUSP00000015605,Atf6b,12915
ENSMUSP00000015645,Hivep2,15273
ENSMUSP00000015666,Arnt,11863
ENSMUSP00000015723,Nkx2-5,18091
ENSMUSP00000015749,Srf,20807
ENSMUSP00000015771,Gata5,14464
ENSMUSP00000015841,Setdb1,84505
ENSMUSP00000015858,Cers2,76893
ENSMUSP00000015987,Rxrg,20183
ENSMUSP00000016026,Lcorl,209707
ENSMUSP00000016231,Fli1,14247
ENSMUSP00000017151,Rbpjl,19668
ENSMUSP00000017567,Zfp207,22680
ENSMUSP00000017868,Etv4,18612
ENSMUSP00000017945,Mlx,21428
ENSMUSP00000018005,Mybl2,17865
ENSMUSP00000018094,Hnf4a,15378
ENSMUSP00000018287,Mafk,17135
ENSMUSP00000018407,Tbx5,21388
ENSMUSP00000018491,Zkscan6,52712
ENSMUSP00000018521,Vezf1,22344
ENSMUSP00000018645,Ncor1,20185
ENSMUSP00000018698,Ybx2,53422
ENSMUSP00000018748,Tbx3,21386
ENSMUSP00000018795,Tada2a,217031
ENSMUSP00000018798,Ikzf1,22778
ENSMUSP00000018842,Lhx1,16869
ENSMUSP00000019043,Irf1,16362
ENSMUSP00000019117,Hoxb1,15407
ENSMUSP00000019257,Aire,11634
ENSMUSP00000019374,Lhx9,16876
ENSMUSP00000019482,Zfp687,78266
ENSMUSP00000019572,Zfp874b,408067
ENSMUSP00000019660,Zkscan1,74570
ENSMUSP00000019749,Hoxd8,15437
ENSMUSP00000019861,Zfp451,98403
ENSMUSP00000019924,Hey2,15214
ENSMUSP00000019938,Nr2e1,21907
ENSMUSP00000019997,Tnfaip3,21929
ENSMUSP00000020071,Sim1,20464
ENSMUSP00000020158,Myb,17863
ENSMUSP00000020243,Ascl1,17172
ENSMUSP00000020377,Tcf3,21423
ENSMUSP00000020379,Tcf3,21423
